hscode,description,net_wt_kg,assess_value_bdt
39169020,Fibre reinforced polymer (FRP) sticks and profile shapes,40901,21503431
39169090,"Monofil.Dimension>1mm,Rods..&Profile Shapes,Of Other Plastics",14086,9426159
39172100,"Tubes, Pipes And Hoses, Rigid, Of Polymers Of Ethylene",13164,21985809
39172200,"Tubes, Pipes And Hoses, Rigid, Of Polymers Of Propylene",85,47147
39172310,Pvc Shrinkable Tube(Plain),1989,920112
39172390,"Tubes,Pipes And Hoses, Rigid, Of Polymers Of Vinyl Chloride, Nes",10225,2583645
39172991,"Tubes, Pipes And Hoses, Rigid, Of Other Plastics, Nes",8496,6408267
39172999,"Tubes, Pipes And Hoses, Rigid, Of Other Plastics, Nes",101189,13536609
39173290,"Tubes, Pipes And Hoses, Not Reinforced, Without Fittings, Nes",102,187358
39173390,"Other Tubes,Pipes&Hoses With Fittings",44,287076
39173990,"Other Tubes, Pipes And Hoses, Nes",1531,1033258
39174000,"Fittings, For Tubes, Pipes And Hoses, Of Plastic",6119,1465114
39189000,"Floor, Wall Or Ceiling Coverings Of Plastics, Nes, In Rolls Or Tiles",2982,878177
39191000,"Self-Adhesive Tape, Plates, Strip..., In Rolls, Width =<20cm",140709,86579107
39199010,"OTHER SELF-ADHESIVE PLATES, TAPE, STRIP, FOIL... OF PLASTICS, NES",952960,386423328
39199020,Performance Tape/Closure/Side Tape,47583,32786582
39199030,Scratch off label imp. by IND_IRC_VAT reg. SIM_Smart card or Gypsum Boad manf. ind,7,14994
39199091,Re-seal/Self adhesive tape,6846,6584020
39199099,"OTHER SELF-ADHESIVE PLATES, TAPE, STRIP, FOIL... OF PLASTICS, NES",301428,410234432
39201010,Stretch Wrapping Film,50101,13730920
39201090,"Plates..,Of Polymers Of Ethylene, Laminated.. Not Reinforced,Etc.,Nes",248459,351244439
39202010,Polymers of propylene in printed form,2014,24743015
39202020,Non-printed cast polypropylene film,47793,10399986
39202090,Other polymers of propylene(excl printed form),1250864,315698290
39203000,"Plates..., Of Polymers Of Styrene, Laminated..Not Reinforced, Etc",9087,3025693
39204300,CONTAINING BY WEIGHT NOT LESS THAN 6% OF PLASTICISERS,51743,10496965
39204910,PVC FILM & PVDC FILM FOR BLISTER PACK FOR MEDICINE,5433,1432822
39204920,Printed PVC sheet,106211,33154723
39204930,PVC film imp. by Ind. IRC_VAT compliant medicine pack. Industries,7650,1380895
39204940,Unprinted PVC sheet,101,26909
39204950,PVC FILM IMP. BY IND. IRC VAT COMPLI. GYPSUM BOARD MFG IND.,64912,16256706
39204990,"Other plates...,of polymers of vinyl chloride other than not<6% of plasticisers",689173,169085647
39205100,"Plates..., Of Polymethyl Methacrylate, Laminated Not Reinforced, Etc",1987,723970
39206100,"Plates..., Of Polycarbonates,Laminated Not Reinforced, Etc",81,190308
39206210,poly(ethylene terephthalate in printed form,56937,24102827
39206290,Other poly(ethylene terepthalate) excl printed form,715848,200546462
39206390,"Plates..., Of Unsaturated Polyesters, Laminated Not Reinforced, Etc",4980,1262704
39206910,Other polyester in printed form,1,29016
39206920,Unprinted in roll form imported by VAT registered plastic products manufacturing indu,5010,1256788
39206999,"Other polyesters, Nes (excl. printed form)",627,2362773
39207100,"Plates..., Of Regenerated Cellulose, Laminated Not Reinforced, Etc",927,245181
39207300,"Plates..., Of Cellulose Acetate, Not Reinforced, Etc",64026,58877377
39207900,"Plates..., Of Other Cellulose Derivatives, Not Reinforced, Etc, Nes",13803,1827735
39209100,"Plates..., Of Polyvinyl Butyral, Not Reinforced, Etc",1923,1091641
39209210,Other plastics polyamides in printed form,28,18743
39209220,Unprinted in roll form imported by VAT registered plastic products manufacturing indu,221,95385
39209290,"Other plastics polymides, Nes (excl. printed form)",3385,8710716
39209910,Film For Blister Packing Of Other Plastics,59,50263
39209990,"Plates..., Of Other Plastics, Not Reinforced, Etc, Nes",115239,156343975
39211100,"Cellular Plates, Strips... Of Polymers Of Styrene",41725,18041348
39211200,"Cellular Plates, Strips... Of Polymers Of Vinyl Chloride",189129,67974512
39211300,"Cellular Plates, Strips... Of Polymers Of Polyurethanes",873385,333547695
39211400,"Cellular Plates, Strips... Of Polymers Of Regenerated Cellulose",678,1915764
39211910,Microcellular PET light sheet having a power saving capacity of 20% or more,4540,2738682
39211990,"Microcellular PET light sheet having a power saving capa.of 20% or more, NES",233772,181754260
39219010,"Vulcanised fibre sheet imp.in preunched,cut to size shape for the mfg.of silver cans.",7576,4419275
39219020,Multilayer extruded sheet for plastic.. imported by VAT regtd. plastic tube manufactu,4469,2019997
39219091,"Other cellular plates, strips in printed form..., of plastics",1008,1446747
39219093,Tarpaulin,114880,30632595
39219099,"Other cellular plates, strips ..., of plastics, nes",1284697,405504388
39222000,Lavatory Seats And Covers Of Plastics,1220,91341
39229000,"Bidets, Lavatory Pans... And Other Sanitary Ware Of Plastics, Nes",225,49156
39231000,"Boxes, Cases, Crates And Similar Articles Of Plastics",68962,16952741
39232100,Sacks and bags (incl. cones) of polymers of ethylene,1444968,426042309
39232910,AIRTIGHT STORAGE BAGS WITH ZIPPER,23089,21598610
39232990,Article for the conve..of polymers of ther plastic excl.airtght storage bag with zipp,204391,73977667
39233090,"Other Carboys, Bottles, Flasks And Similar Articles Of Plastics",54,48846
39234010,Bobbins; Sliver/spinning can,25950,10388640
39235000,"Stoppers, Lids, Caps And Other Closures Of Plastics",88244,117796002
39239010,"Trays For Transportation And Keeping For Chicks And Eggs, Of Plastics",2,26253
39239090,"Articles for the packing of goods, of plastics, nes",262391,69670830
39249090,"Other Household Articles And Toilet Articles, Of Plastics, NES",12719,6977038
39259000,"Builders' Ware Of Plastics, Nes",230,332450
39261000,Office Or School Supplies Of Plastics,179,443217
39262010,Gloves (Surgical) Of Plastics & Materials Of Heading 39.01-39.04,382,262477
